symbol: 196, SP: 0.00000165, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 197, SP: 0.00000470, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 198, SP: 0.00000002, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 200, SP: 0.00015999, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 201, SP: 0.00002399, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 202, SP: 0.00000005, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 203, SP: 0.00000001, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 204, SP: 0.00000004, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 205, SP: 0.00000150, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 206, SP: 0.00000004, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 207, SP: 0.00000824, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 208, SP: 0.00086000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 209, SP: 0.00000006, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 210, SP: 0.00000001, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 211, SP: 0.03989000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 212, SP: 0.00000075, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 213, SP: 0.06200000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 214, SP: 0.00007428, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 215, SP: 17500.00000000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 216, SP: 0.00008490, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 217, SP: 0.00000007, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 218, SP: 0.00000004, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 219, SP: 0.00000979, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 221, SP: 0.00304999, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 222, SP: 0.00000590, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 223, SP: 0.00000060, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 224, SP: 0.00000006, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 225, SP: 0.00000006, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 226, SP: 0.00000289, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 227, SP: 0.00000119, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 228, SP: 0.00000295, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 229, SP: 0.00000685, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 230, SP: 0.00000100, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 231, SP: 0.00074000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 232, SP: 0.00000005, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 233, SP: 0.00012999, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 234, SP: 0.00000180, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 235, SP: 0.00000001, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 236, SP: 0.02090978, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 237, SP: 0.00000450, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 238, SP: 0.00000005, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 239, SP: 0.00000550, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 240, SP: 0.00000003, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 241, SP: 0.00001392, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 242, SP: 0.00000004, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 243, SP: 0.00000013, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 244, SP: 0.00000025, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 245, SP: 0.00000185, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 246, SP: 0.00000037, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 247, SP: 0.00000129, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 248, SP: 0.00000052, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 250, SP: 0.00000050, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 251, SP: 0.00003399, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 252, SP: 0.00000500, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 253, SP: 0.00001250, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 254, SP: 0.00000008, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 255, SP: 0.00000180, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 256, SP: 0.00000045, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 257, SP: 0.00000500, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 258, SP: 0.00000003, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 259, SP: 0.00000855, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
