symbol: FOOT/BTC, SP: 0.00001629, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FRC/BTC, SP: 0.00000198, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FRN/BTC, SP: 0.0000288, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FST/BTC, SP: 0.00000298, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FTC/BTC, SP: 0.00003034, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FUEL/BTC, SP: 0.00000118, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FUZZ/BTC, SP: 9.8e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GAIA/BTC, SP: 0.00000258, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GAME/BTC, SP: 0.00126093, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GAP/BTC, SP: 0.00000276, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GAY/BTC, SP: 0.00011553, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GBYTE/BTC, SP: 0.3896408, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GEERT/BTC, SP: 4e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GEO/BTC, SP: 0.00027612, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GLD/BTC, SP: 0.00004406, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GNO/BTC, SP: 0.13896, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GNT/BTC, SP: 0.00017958, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GP/BTC, SP: 0.00002001, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GPL/BTC, SP: 0.00007873, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GPU/BTC, SP: 0.00000107, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GRN/BTC, SP: 0.00000159, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GRS/BTC, SP: 0.00006491, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GRW/BTC, SP: 9.2e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: GUN/BTC, SP: 2.6e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: HAL/BTC, SP: 0.00000392, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: HBN/BTC, SP: 0.00000158, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: HUSH/BTC, SP: 0.000858, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: HXX/BTC, SP: 0.00001474, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: HYP/BTC, SP: 6.7e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: I0C/BTC, SP: 0.00000755, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ICB/BTC, SP: 0.0000073, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ICOB/BTC, SP: 3.6e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: IEC/BTC, SP: 0.00001265, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: IMPCH/BTC, SP: 0.00000647, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: IMS/BTC, SP: 0.00000431, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: IN/BTC, SP: 4e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: INCNT/BTC, SP: 0.0000873, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: INFX/BTC, SP: 0.00019008, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: INPAY/BTC, SP: 0.00012989, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: INSN/BTC, SP: 0.00005033, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: IOU/BTC, SP: 1.1e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: IRL/BTC, SP: 2.8e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ITI/BTC, SP: 0.0074963, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: IXC/BTC, SP: 0.000032, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: JANE/BTC, SP: 1.6e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: JET/BTC, SP: 0.00037998, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: KASH/BTC, SP: 1.9e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: KAYI/BTC, SP: 3e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: KDC/BTC, SP: 0.00000167, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: KED/BTC, SP: 0.00000384, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: KMD/BTC, SP: 0.00066387, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: KOBO/BTC, SP: 0.00000745, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: KRB/BTC, SP: 0.00007321, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: KURT/BTC, SP: 0.00000924, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: KUSH/BTC, SP: 0.00000478, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: LANA/BTC, SP: 1e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: LBC/BTC, SP: 0.00021031, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: LDC/BTC, SP: 1.7e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
